idx,rmse,absrel,delta1,delta2,delta3
0,4.887768968756948,0.1333136111497879,0.8992958068847656,0.9367759227752686,0.9575225114822388
1,3.007633986687206,0.08212625235319138,0.9202073216438293,0.9694115519523621,0.9896335005760193
2,4.8106105117212925,0.08501621335744858,0.9362679123878479,0.9568995833396912,0.9677806496620178
3,3.6994682960971734,0.07036639004945755,0.9239953756332397,0.9519001245498657,0.9715494513511658
4,3.126867422994049,0.11627563834190369,0.8668562173843384,0.9464582204818726,0.9627261161804199
5,3.4903121111324236,0.06525825709104538,0.9216514229774475,0.9689252972602844,0.9914276599884033
6,3.8905093011160266,0.10675511509180069,0.8881417512893677,0.9498192667961121,0.981995701789856
7,3.694802892277308,0.06452387571334839,0.955842912197113,0.967736005783081,0.9859111905097961
8,2.964729558180546,0.07070447504520416,0.9400787353515625,0.980579137802124,0.9932268261909485
9,5.569456572399216,0.14680157601833344,0.8689054846763611,0.9150083065032959,0.9520729780197144
10,4.903441773509327,0.09673240035772324,0.8751427531242371,0.9642689824104309,0.9840822219848633
11,6.336652421421906,0.12720277905464172,0.8210694193840027,0.9022502303123474,0.9384270310401917
12,5.138510225567021,0.08889155834913254,0.9218963980674744,0.9687737822532654,0.9762194752693176
13,5.043149724737326,0.07167160511016846,0.9264979362487793,0.9556601643562317,0.9855514764785767
14,7.303960264183499,0.1328861266374588,0.8410541415214539,0.9149747490882874,0.9478743672370911
15,4.792491189533666,0.13935257494449615,0.8911733031272888,0.9626244902610779,0.9759502410888672
16,5.306773611233917,0.12573419511318207,0.7924299836158752,0.9007056951522827,0.9875258803367615
17,3.754143142767622,0.23654919862747192,0.8203505277633667,0.876130223274231,0.9107664823532104
18,3.484965047784173,0.14167290925979614,0.8365474939346313,0.945106565952301,0.9836764335632324
19,4.298935940407413,0.06299588829278946,0.9323838949203491,0.9755849838256836,0.990166187286377
20,3.4251178025083413,0.0744938924908638,0.9427004456520081,0.9686075448989868,0.9942502379417419
21,5.105671231399896,0.11239203810691833,0.9126315116882324,0.9669609665870667,0.9746852517127991
22,2.282444471371117,0.0705321729183197,0.925305187702179,0.987660825252533,0.9988782405853271
23,1.7367991783611054,0.03810044378042221,0.9787053465843201,0.9937945008277893,0.9992161393165588
24,2.585082682130246,0.08047253638505936,0.9507209658622742,0.9673106074333191,0.9783704280853271
